timestamp,cpu_percent,memory_mb
2025-12-08 21:42:11,20.5,159.76
2025-12-08 21:42:21,66.7,600.93
2025-12-08 21:42:31,25.7,857.78
2025-12-08 21:42:41,20.3,397.04
2025-12-08 21:42:51,19.7,364.16
2025-12-08 21:43:01,19.3,404.24
2025-12-08 21:43:11,17.2,376.23
2025-12-08 21:43:21,18.9,417.36
2025-12-08 21:43:32,42.1,390.89
2025-12-08 21:43:42,76.5,394.02
2025-12-08 21:43:52,31.9,398.55
2025-12-08 21:44:02,58.2,402.63
2025-12-08 21:44:12,56.8,407.01
2025-12-08 21:44:22,18.5,441.80
2025-12-08 21:44:32,18.7,433.42
2025-12-08 21:44:42,42.3,524.20
2025-12-08 21:44:52,15.5,496.97
2025-12-08 21:45:02,27.2,580.82
2025-12-08 21:45:12,16.1,549.91
2025-12-08 21:45:23,55.0,524.49
2025-12-08 21:45:33,31.1,563.20
2025-12-08 21:45:43,26.3,569.57
2025-12-08 21:45:53,53.3,576.86
2025-12-08 21:46:03,22.1,585.71
2025-12-08 21:46:13,30.3,585.92
2025-12-08 21:46:23,26.9,587.12
2025-12-08 21:46:33,49.1,608.44
2025-12-08 21:46:43,34.3,632.18
2025-12-08 21:46:54,47.3,624.92
2025-12-08 21:47:04,51.3,674.37
2025-12-08 21:47:14,79.9,637.73
2025-12-08 21:47:24,53.6,667.26
2025-12-08 21:47:34,19.8,665.71
2025-12-08 21:47:44,58.7,650.70
2025-12-08 21:47:54,20.6,675.05
2025-12-08 21:48:04,56.1,684.23
2025-12-08 21:48:14,20.6,704.70
2025-12-08 21:48:24,26.1,737.88
2025-12-08 21:48:34,25.4,711.32
2025-12-08 21:48:45,39.7,616.38
2025-12-08 21:48:55,19.1,625.34
2025-12-08 21:49:05,23.6,671.34
2025-12-08 21:49:15,22.8,680.38
2025-12-08 21:49:25,27.6,649.58
2025-12-08 21:49:35,25.3,691.91
2025-12-08 21:49:45,35.8,674.19
2025-12-08 21:49:56,19.1,679.06
2025-12-08 21:50:06,20.5,796.73
2025-12-08 21:50:16,35.8,761.90
2025-12-08 21:50:26,33.9,725.25
2025-12-08 21:50:36,19.1,736.18
2025-12-08 21:50:46,21.5,766.43
2025-12-08 21:50:56,23.7,765.69
2025-12-08 21:51:06,21.4,837.81
2025-12-08 21:51:16,28.9,873.36
2025-12-08 21:51:27,23.4,814.36
2025-12-08 21:51:37,27.3,828.74
2025-12-08 21:51:47,22.1,872.11
2025-12-08 21:51:57,26.0,878.86
2025-12-08 21:52:07,28.3,783.76
2025-12-08 21:52:17,20.3,823.38
2025-12-08 21:52:27,22.0,829.83
2025-12-08 21:52:37,26.7,873.30
2025-12-08 21:52:47,100.0,911.34
2025-12-08 21:52:58,83.9,935.23
2025-12-08 21:53:08,55.9,863.62
2025-12-08 21:53:18,93.9,903.39
2025-12-08 21:53:28,74.4,912.64
2025-12-08 21:53:39,73.6,912.18
2025-12-08 21:53:49,80.2,849.85
2025-12-08 21:53:59,95.0,885.64
2025-12-08 21:54:09,69.2,765.45
2025-12-08 21:54:19,33.3,835.79
2025-12-08 21:54:29,57.3,817.04
2025-12-08 21:54:39,47.4,886.29
2025-12-08 21:54:49,44.6,898.43
2025-12-08 21:55:00,20.3,949.14
2025-12-08 21:55:10,59.5,881.59
2025-12-08 21:55:20,22.6,858.24
2025-12-08 21:55:30,28.0,953.98
2025-12-08 21:55:40,73.3,981.83
2025-12-08 21:55:50,22.0,966.37
2025-12-08 21:56:00,25.5,1028.77
2025-12-08 21:56:10,43.2,966.85
2025-12-08 21:56:20,20.9,1054.53
2025-12-08 21:56:30,21.2,1080.93
2025-12-08 21:56:40,25.3,1105.95
2025-12-08 21:56:50,26.4,1198.75
2025-12-08 21:57:01,24.6,1142.69
2025-12-08 21:57:11,23.9,1129.98
2025-12-08 21:57:21,23.4,1092.41
2025-12-08 21:57:31,41.4,1149.92
2025-12-08 21:57:41,21.6,1281.73
